date,open,high,low,close,volume,ma,pivot,r1,ret,cap,dailyr
2015-10-21,509.3,514.75,505.0,511.5,12905.68,476.60500000000013,509.18333333333334,506.53333333333336,0.0,100000.0,100000.0
2015-10-23,515.55,527.5,515.3,527.0,16603.293333333335,480.01500000000016,510.4166666666667,513.3666666666667,-999.900000000101,99000.0999999999,99000.0999999999
2015-10-26,528.85,532.35,519.5,521.25,15636.173333333334,482.3800000000001,523.2666666666667,505.5333333333334,-990.0,98010.0999999999,98010.0999999999
2015-10-27,519.0,528.5,515.65,517.6,16809.693333333333,485.1150000000001,524.3666666666667,527.0333333333333,-334.6500000000044,97675.4499999999,97675.4499999999
2015-10-28,490.0,494.5,476.6,484.4,25135.12,485.7500000000001,520.5833333333334,533.0833333333334,0.0,97675.4499999999,97675.4499999999
2015-10-29,485.1,485.7,467.1,467.9,18856.586666666666,486.04250000000013,485.1666666666667,564.5666666666667,0.0,97675.4499999999,97675.4499999999
2015-10-30,471.0,478.0,465.15,475.5,17626.56,486.6425000000001,473.5666666666666,503.23333333333335,0.0,97675.4499999999,97675.4499999999
2015-11-11,473.0,482.4,473.0,481.7,18297.166666666668,487.52000000000015,472.8833333333334,481.98333333333323,0.0,97675.4499999999,97675.4499999999
2015-11-12,449.4,450.8,437.05,439.0,22547.266666666666,486.4200000000002,479.0333333333333,472.76666666666677,0.0,97675.4499999999,97675.4499999999
2015-11-13,475.5,487.2,472.8,484.5,15177.24,487.66500000000013,442.2833333333333,521.0166666666667,0.0,97675.4499999999,97675.4499999999
2015-11-16,483.0,484.75,477.0,480.7,9771.666666666666,488.43750000000017,481.5,411.7666666666666,-976.6500000000261,96698.79999999987,96698.79999999987
2015-11-17,484.6,484.75,473.1,475.2,11976.4,489.6050000000002,480.81666666666666,486.0,0.0,96698.79999999987,96698.79999999987
2015-11-18,474.7,476.7,462.65,463.0,14678.2,489.3425000000002,477.68333333333334,488.5333333333333,0.0,96698.79999999987,96698.79999999987
2015-11-19,467.9,467.9,460.1,463.25,14321.173333333334,489.9725000000002,467.45,492.7166666666667,0.0,96698.79999999987,96698.79999999987
2015-11-20,462.5,465.35,458.3,460.2,19733.906666666666,488.45750000000027,463.75,474.79999999999995,0.0,96698.79999999987,96698.79999999987
2015-11-23,461.4,464.2,458.7,462.35,14239.226666666667,486.78750000000025,461.28333333333336,469.2,0.0,96698.79999999987,96698.79999999987
2015-11-24,463.0,466.9,462.8,463.55,12683.226666666667,484.9800000000002,461.75,463.86666666666673,-967.0,95731.79999999987,95731.79999999987
2015-11-26,465.1,468.55,464.5,466.5,22790.706666666665,483.0800000000002,464.4166666666667,460.7,-957.5999999999758,94774.1999999999,94774.1999999999
2015-11-27,467.05,475.4,466.1,471.1,18706.013333333332,481.2850000000002,466.51666666666665,464.33333333333337,-548.9000000000113,94225.29999999989,94225.29999999989
2015-11-30,470.0,474.2,468.15,468.65,16985.173333333332,479.2425000000002,470.8666666666666,466.9333333333333,-942.4999999999926,93282.7999999999,93282.7999999999
2015-12-14,435.0,441.45,429.55,431.1,14973.813333333334,475.2225000000002,470.3333333333333,473.58333333333326,0.0,93282.7999999999,93282.7999999999
2015-12-15,432.0,436.9,429.85,434.0,15153.373333333333,470.5725000000002,434.0333333333333,511.1166666666666,0.0,93282.7999999999,93282.7999999999
2015-12-16,437.15,441.85,434.0,438.15,16658.81333333333,466.4175000000002,433.5833333333333,438.2166666666666,-932.3999999999912,92350.3999999999,92350.3999999999
2015-12-17,442.5,443.3,431.5,435.5,19692.28,462.31250000000017,438.0,433.16666666666663,374.25,92724.6499999999,92724.6499999999
2015-12-18,435.5,440.7,431.2,432.0,19350.18666666667,459.6925000000002,436.76666666666665,444.5,0.0,92724.6499999999,92724.6499999999
2015-12-21,432.55,443.2,432.5,442.25,13972.293333333333,458.4100000000002,434.6333333333334,442.3333333333333,-439.1999999999889,92285.44999999992,92285.44999999992
2015-12-22,442.5,450.6,441.6,446.15,15332.853333333333,456.9425000000002,439.31666666666666,436.76666666666677,-922.5,91362.94999999992,91362.94999999992
2015-12-23,449.4,452.7,448.2,452.4,12511.293333333333,455.47750000000013,446.1166666666666,437.0333333333333,-914.0999999999717,90448.84999999995,90448.84999999995
2015-12-24,452.5,455.2,448.45,450.7,10436.133333333333,456.06250000000017,451.09999999999997,444.03333333333325,0.0,90448.84999999995,90448.84999999995
2015-12-28,450.75,456.6,448.4,456.0,13460.92,454.63750000000016,451.45,453.74999999999994,561.5999999999858,91010.44999999994,91010.44999999994
2015-12-29,455.55,459.9,451.35,459.0,16074.173333333334,453.5525000000001,453.6666666666667,454.5,4626.850000000018,95637.29999999996,95637.29999999996
2015-12-30,457.5,460.0,453.6,455.7,9534.626666666667,452.57750000000016,456.75,455.98333333333335,0.0,95637.29999999996,95637.29999999996
2015-12-31,455.2,456.0,448.25,449.75,15863.706666666667,451.91500000000013,456.43333333333334,459.9,0.0,95637.29999999996,95637.29999999996
2016-01-02,409.9,410.35,394.65,399.2,17187.68,448.7125000000002,451.3333333333333,464.6166666666667,0.0,95637.29999999996,95637.29999999996
2016-01-03,381.0,393.2,381.0,392.0,12668.56,445.3025000000001,401.40000000000003,508.01666666666665,0.0,95637.29999999996,95637.29999999996
2016-01-04,440.9,451.85,440.3,449.55,16500.346666666668,444.6625000000001,388.73333333333335,421.80000000000007,-956.25,94681.04999999996,94681.04999999996
2016-01-06,524.75,529.35,510.0,512.15,12734.4,447.0925000000001,447.23333333333335,337.1666666666667,0.0,94681.04999999996,94681.04999999996
2016-01-07,536.9,545.7,536.05,542.2,11797.946666666667,450.87750000000017,517.1666666666666,384.4666666666667,-946.5,93734.54999999996,93734.54999999996
2016-01-08,546.4,557.7,546.4,550.55,12125.386666666667,454.8500000000001,541.3166666666667,498.2833333333333,-937.0,92797.54999999996,92797.54999999996
2016-01-09,596.0,603.0,592.05,597.5,20358.56,461.29250000000013,551.55,536.2333333333335,280.7999999999902,93078.34999999995,93078.34999999995
2016-01-11,487.65,487.95,474.5,475.1,12084.373333333333,463.4925000000001,597.5166666666667,511.04999999999995,0.0,93078.34999999995,93078.34999999995
2016-01-12,472.0,472.8,464.4,465.0,12240.706666666667,465.04250000000013,479.1833333333334,720.5333333333333,0.0,93078.34999999995,93078.34999999995
2016-01-13,410.4,411.0,392.7,405.2,22360.56,463.39500000000015,467.40000000000003,493.9666666666668,0.0,93078.34999999995,93078.34999999995
2016-01-14,398.4,399.15,388.75,389.8,16785.546666666665,461.1100000000001,402.9666666666667,542.1000000000001,0.0,93078.34999999995,93078.34999999995
2016-01-15,392.4,395.8,369.05,373.2,20290.0,458.1700000000002,392.56666666666666,417.1833333333334,0.0,93078.34999999995,93078.34999999995
2016-01-18,373.0,383.25,366.9,374.1,20849.24,454.76250000000016,379.34999999999997,416.0833333333333,0.0,93078.34999999995,93078.34999999995
2016-01-19,376.9,396.0,376.6,396.0,23775.04,452.2550000000002,374.75,391.79999999999995,0.0,93078.34999999995,93078.34999999995
2016-01-20,385.65,393.35,374.65,391.0,20822.96,449.18500000000023,389.5333333333333,372.9,-931.0000000000227,92147.34999999992,92147.34999999992
2016-01-21,399.5,412.35,397.85,409.0,29514.28,447.1000000000002,386.3333333333333,404.41666666666663,772.7999999999979,92920.14999999992,92920.14999999992
2016-01-22,418.05,427.4,414.7,424.55,19891.8,445.52750000000015,406.40000000000003,374.8166666666666,0.0,92920.14999999992,92920.14999999992
2016-01-25,429.1,429.1,415.25,419.15,15512.24,443.53500000000014,422.21666666666664,398.1000000000001,868.5999999999908,93788.74999999991,93788.74999999991
2016-01-27,424.2,426.45,412.1,415.0,14636.92,441.5000000000001,421.1666666666667,429.1833333333333,0.0,93788.74999999991,93788.74999999991
2016-01-28,416.0,416.25,402.7,408.05,15155.88,439.4150000000001,417.84999999999997,430.23333333333335,0.0,93788.74999999991,93788.74999999991
2016-01-29,395.5,409.8,393.25,409.6,18883.693333333333,439.93500000000006,409.0,432.99999999999994,0.0,93788.74999999991,93788.74999999991
2016-02-02,399.0,404.45,388.6,391.6,18392.48,439.9150000000001,404.2166666666667,424.75,0.0,93788.74999999991,93788.74999999991
2016-02-03,400.1,411.8,400.1,407.0,19084.453333333335,437.7875000000001,394.8833333333334,419.83333333333337,0.0,93788.74999999991,93788.74999999991
2016-02-05,471.0,479.0,468.75,472.1,17977.413333333334,435.78500000000014,406.3,389.66666666666674,-937.6500000000101,92851.0999999999,92851.0999999999
2016-02-06,509.95,525.0,506.8,524.7,14087.133333333333,434.91000000000014,473.2833333333333,343.85,-928.3500000000938,91922.74999999981,91922.74999999981
2016-02-08,551.95,555.6,547.1,551.0,13127.786666666667,434.9325000000002,518.8333333333334,439.7666666666666,0.0,91922.74999999981,91922.74999999981
2016-02-09,597.1,602.0,594.4,600.0,15398.68,435.0575000000002,551.2333333333333,490.5666666666667,-919.599999999934,91003.14999999988,91003.14999999988
2016-02-11,469.6,480.45,468.5,476.05,12454.866666666667,435.10500000000013,598.8000000000001,508.0666666666667,0.0,91003.14999999988,91003.14999999988
2016-02-12,463.0,466.85,458.0,459.6,10454.933333333332,434.83500000000015,475.0,729.1000000000001,0.0,91003.14999999988,91003.14999999988
2016-02-15,396.95,420.0,396.5,413.7,22047.066666666666,435.2600000000001,461.48333333333335,492.0,0.0,91003.14999999988,91003.14999999988
2016-02-16,420.45,422.5,405.0,405.0,18872.97333333333,436.02000000000015,410.06666666666666,526.4666666666667,0.0,91003.14999999988,91003.14999999988
2016-02-17,406.6,406.75,395.0,403.95,17340.426666666666,437.5575000000002,410.8333333333333,415.1333333333333,0.0,91003.14999999988,91003.14999999988
2016-02-18,410.2,412.1,391.85,397.2,17863.986666666668,438.7125000000002,401.90000000000003,426.66666666666663,0.0,91003.14999999988,91003.14999999988
2016-02-19,395.6,396.55,390.0,392.35,20970.84,438.5300000000002,400.3833333333334,411.95000000000005,0.0,91003.14999999988,91003.14999999988
2016-02-22,395.35,398.7,391.6,397.05,16607.6,438.83250000000015,392.9666666666667,410.76666666666677,0.0,91003.14999999988,91003.14999999988
2016-02-23,397.75,397.75,383.6,385.2,23517.386666666665,437.6425000000002,395.7833333333333,394.33333333333337,0.0,91003.14999999988,91003.14999999988
2016-02-24,384.0,390.95,377.3,387.9,23156.613333333335,435.81000000000023,388.84999999999997,407.9666666666666,0.0,91003.14999999988,91003.14999999988
2016-02-25,386.15,387.8,377.5,380.0,18900.066666666666,433.85250000000025,385.3833333333334,400.3999999999999,0.0,91003.14999999988,91003.14999999988
2016-02-26,384.05,390.05,382.15,386.4,17131.946666666667,432.42250000000024,381.76666666666665,393.26666666666677,0.0,91003.14999999988,91003.14999999988
2016-02-29,387.0,391.65,374.0,377.4,56317.04,430.8900000000002,386.2,381.3833333333333,-911.3999999999958,90091.74999999988,90091.74999999988
2016-03-02,386.3,389.7,379.15,380.0,16658.24,429.4100000000002,381.01666666666665,398.4,0.0,90091.74999999988,90091.74999999988
